key,source,target
DivineTechText/Type_Dash,Dash,
DivineTechText/QiangSuan_Dash1_Desc,"Dashing links enemies, dealing damage while healing you.",
DivineTechText/HanBing_Passive1_Desc,Increases Dash Damage.,
DivineTechText/Param_DashDMG,Dash Damage: <Green_24>%s</>,
DivineTechText/TechDesc7038,"Dash with spinning ice blades, damaging enemies and creating an ice path.",
DivineTechText/LeiDian_Passive6_Desc,Increases movement speed and damage after dashing.,
DivineTechText/HanBing_Passive1_Name,Dash Boost,
DivineTechText/ZhiXie_Passive6_Name,Dash Expansion,
DivineTechText/LieYan_Passive4_Desc,Increases dash duration.,
DivineTechText/HanBing_Dash1_Desc,"Dashing has a chance to trigger a Frost Nova, dealing damage and inflicting [Freeze].",
DivineTechText/ZhiXie_Passive6_Desc,Extends the Area of Dash-type Tech.,
DivineTechText/ZhiXie_Dash1_Desc,Increases dash distance and spins blades to cut nearby enemies.,
DivineTechText/LieYan_Dash1_Desc,Dash to deal fire damage and leave a trail of flames.,
DivineTechText/HanBing_Weapon1_Name,Frozen Rounds,
DivineTechText/Param_CD,Cooldown: <Green_24>%s sec</>,
DivineTechText/Param_CDReduction,Cooldown Reduction: <Green_24>%s%</>,
DivineTechText/HanBing_Psionic3_Name,Frost Glide,
DivineTechText/HanBing_Passive4_Name,Freeze Extension,
DivineTechText/ZhiXie_Passive4_Name,Damage Reduction Coating,
DivineTechText/LeiDian_Passive4_Desc,Reduces cooldowns.,
DivineTechText/TechUI5018_1,Slow Down: <Green_24>%s%</>,
DivineTechText/TechDesc7030,Increases Weapon damage after killing an enemy with the [Burn] debuff.,
DivineTechText/TechDesc7028,Increases weapon fire rate after killing an enemy with the [Burn] debuff.,
DivineTechText/ZhiXie_Dash1_Name,Blade Ring Dash,
DivineTechText/QiangSuan_Psionic1_Name,Split Projectiles,
DivineTechText/QiangSuan_AuxWeapon2_Name,Pesticannon Turret,
DivineTechText/LeiDian_Dash1_Name,Lightning Transform,
DivineTechText/LeiDian_Dash1_Desc,"Transform into lightning, dash forward at high speed and deal damage. This skill has a cooldown period.",
DivineTechText/ZhiXie_Passive1_Name,Synergy Amplification,
DivineTechText/TechName7040,Coordinated Detonation Protocol,
DivineTechText/QiangSuan_Passive5_Name,Twin Core,
DivineTechText/TechUI5017_1,Ricochet Count: <Green_24>%s</>,
DivineTechText/BaoZha_Dash1_Desc,Dashing leaves behind a black hole.,
DivineTechText/QiangSuan_Skill2_Desc,Launch four rotating venom pillars.,
DivineTechText/HanBing_Skill2_Desc,Unleash a tornado that lifts enemies along its path.,
DivineTechText/Param_DMGRatio,Damage Ratio: <Green_24>%s%</>,
DivineTechText/ZhiXie_Passive4_Desc,Reduces damage taken.,
DivineTechText/Param_DMGTakenRedu,Reduces Damage taken: <Green_24>%s%</>,
DivineTechText/LieYan_Skill2_Desc,"Summons 5 Laser Drones in a row to launch a laser sweep, leaving a trail of flames.",
DivineTechText/Param_SummonCD,Summon Cooldown: <Green_24>%s sec</>,
DivineTechText/ZhiXie_AuxWeapon1_Desc,Summon a medical drone.,
DivineTechText/Param_SummonCount,Summon Count: <Green_24>%s</>,
DivineTechText/ZhiXie_AuxWeapon2_Desc,"Summon an android ally to aid in combat. If the ally is destroyed, it will be summoned again after a short time.",
DivineTechText/BaoZha_AuxWeapon2_Desc,Summon a Machine Gun Drone that launches a grenade every 5 shots.,
DivineTechText/QiangSuan_AuxWeapon1_Desc,"Summon venom drones that sprays venom, dealing damage and inflicting [Poison].",
DivineTechText/LieYan_AuxWeapon1_Desc,Summons a Laser Drone that deals damage and applies [Burn].,
DivineTechText/LieYan_Skill1_Desc,"Summons a Fire Dragon that circles around you, dealing heavy damage and inflicting [Burn].",
DivineTechText/LeiDian_AuxWeapon1_Desc,Summons Arc Drones that have a chance to [stun] enemies with attacks.,
DivineTechText/BaoZha_AuxWeapon1_Desc,Summon Back-Mounted Rocket Launcher.,
DivineTechText/HanBing_AuxWeapon2_Desc,"Summon a suicide sentinel that automatically tracks and explodes when enemies are nearby, dealing area [Freeze].",
DivineTechText/ZhiXie_Skill1_Desc,Summon a set of orbiting disc blades for protection.,
DivineTechText/TechDesc7032,Targets affected by both [Poison] and [Burn] take increased Status Ailment damage.,
DivineTechText/BaoZha_Passive5_Name,Bloodthirsty Magazine,
DivineTechText/ZhiXie_Skill2_Name,Whirlblade Dance,
DivineTechText/ZhiXie_Throw1_Name,Rotating Sawblade,
DivineTechText/LeiDian_Passive1_Name,Recharge Module,
DivineTechText/TechDesc5018,Deploy a slowing field at your location. Enemy movement speed is reduced inside the field. You gain fire rate and reload speed while standing in it.,
DivineTechText/LeiDian_Skill2_Desc,Generates an electromagnetic storm at the target location.,
DivineTechText/HanBing_Skill1_Desc,Generate ice shards behind that automatically fire at the target hit by your gun.,
DivineTechText/Param_BaseCount,Base Count: <Green_24>%s</>,
DivineTechText/LeiDian_Passive5_Name,Backup Power,
DivineTechText/BaoZha_Chase1_Desc,"After multiple hits, fires a salvo of rockets.",
DivineTechText/LieYan_Chase1_Desc,"After multiple hits, unleash a stream of flames in front of you.",
DivineTechText/ZhiXie_Chase2_Desc,"After multiple shooting hits, fire a sawblade forward. The sawblade continuously cuts and slows obstacles in its path.",
DivineTechText/LeiDian_Psionic1_Name,Thunder Dash,
DivineTechText/Param_BulletDMGMult,Bullet Damage Multiplier: <Green_24>%s%</>,
DivineTechText/Param_BulletDMGInc,Bullet Damage Bonus: <Green_24>%s%</>,
DivineTechText/HanBing_Chase1_Desc,There is a chance to release ice fragments upon hit.,
DivineTechText/QiangSuan_Chase2_Desc,"There is a chance to launch multiple homing venom spikes on hit, with the number of spikes affected by additional projectiles.",
DivineTechText/LeiDian_Chase1_Desc,Bullets have a chance to trigger a chain lightning on hit. Upgrades increase the number of ricochets.,
DivineTechText/Param_BulletCount,Bullet Count: <Green_24>%s</>,
DivineTechText/Param_SubGrenadeCount,Sub-grenade Count: <Green_24>%s</>,
DivineTechText/Param_RangeWidth,Width: <Green_24>%s</>,
DivineTechText/HanBing_Name,Frost,
DivineTechText/HanBing_Passive8_Name,Frost Mastery,
DivineTechText/HanBing_Passive5_Name,Frost Shield,
DivineTechText/QiangSuan_Passive4_Desc,Increases damage against Elites and Boss.,
DivineTechText/Param_DMGBossInc,DMG Bonus against Elites and Boss: <Green_24>%s%</>,
DivineTechText/QiangSuan_Psionic1_Desc,"After firing the last bullet in the magazine, fire multiple projectiles outward from yourself.",
DivineTechText/HanBing_Passive7_Desc,Bullets hitting frozen enemies are returned and may grant a temporary shield.,
DivineTechText/LeiDian_Chase2_Desc,Shooting hits have a chance to fire a lightning energy orb. The orb continuously tracks targets and deals damage. (Internal CD: 1s),
DivineTechText/QiangSuan_Chase1_Desc,There is a chance to fire 1 additional bullet when shooting.,
DivineTechText/LeiDian_Passive3_Name,Range Amplification,
DivineTechText/Param_BarrierGenTime,Barrier Generation Time: <Green_24>%s sec</>,
DivineTechText/Param_BarrierHP,Barrier Durability: <Green_24>%s</>,
DivineTechText/QiangSuan_Passive4_Name,Giant Slayer,
DivineTechText/Param_LuckInc,Luck Bonus: <Green_24>%s%</>,
DivineTechText/Qiangjiang_Passive2_Name,Luck Boost,
DivineTechText/Qiangjiang_Passive2_Desc,Increases Luck.,
DivineTechText/QiangSuan_Passive6_Name,Status Armor,
DivineTechText/HanBing_Passive6_Name,Status Vulnerability,
DivineTechText/LieYan_Passive1_Desc,Increases damage of status ailment effects.,
DivineTechText/Param_StatusDMGInc,Status Ailment DMG Bonus: <Green_24>%s%</>,
DivineTechText/HanBing_Passive4_Desc,Increases status ailment duration.,
DivineTechText/Param_StatusDUInc,Status Ailment Duration Bonus: <Green_24>%s%</>,
DivineTechText/HanBing_Passive6_Desc,Enemies affected by status ailment take increased damage.,
DivineTechText/LieYan_Passive6_Name,Psi Acceleration,
DivineTechText/LieYan_Passive1_Name,Psi Boost,
DivineTechText/TechName7033,Thunderfrost Crystal,
DivineTechText/TechDesc4017,The first round in the magazine explodes on hit.,
DivineTechText/LieYan_Psionic4_Desc,"When the first bullet of a magazine is fired, it is accompanied by a Lava Fissure Wave that deals damage and leaves a burning trail.",
DivineTechText/Param_Projectile,Projectile Count: <Green_24>%s</>,
DivineTechText/QiangSuan_Passive3_Name,Drum Magazine,
DivineTechText/QiangSuan_Name,Corrosive,
DivineTechText/QiangSuan_Passive7_Name,Corrosive Mastery,
DivineTechText/ZhiXie_Passive1_Desc,"When hitting enemies, both your Weapon Damage and Auxiliary Weapon Damage are increased.",
DivineTechText/ZhiXie_Chase1_Name,Shadow Blade,
DivineTechText/HanBing_Psionic1_Name,Frost Wave,
DivineTechText/Qiangjiang_Passive4_Desc,Increases overall damage.,
DivineTechText/Param_AmmoRestore,Ammo Restored: <Green_24>%s</>,
DivineTechText/ZhiXie_Passive3_Name,Recovery Boost,
DivineTechText/ZhiXie_AuxWeapon2_Name,Combat Android,
DivineTechText/LeiDian_Passive2_Name,Tactical Amplifier,
DivineTechText/HanBing_Passive2_Name,Tactical Expansion,
DivineTechText/Type_Skill,Tactical Skill,
DivineTechText/LeiDian_Passive2_Desc,Increases Tactical Skill damage.,
DivineTechText/BaoZha_Passive2_Desc,Increases the duration of Tactical Skill.,
DivineTechText/HanBing_Passive2_Desc,Increases the Area of Tactical Skills.,
DivineTechText/BaoZha_Passive2_Name,Tactical Hourglass,
DivineTechText/ZhiXie_Passive3_Desc,Increases all healing received.,
DivineTechText/Param_HealBonus,Bonus to Healing Received: <Green_24>%s%</>,
DivineTechText/ZhiXie_Passive2_Desc,Increases damage dealt with manually aimed shots.,
DivineTechText/Type_Throw,Throw,
DivineTechText/ZhiXie_Throw1_Desc,Throws a massive spinning disc that flies out and returns.,
DivineTechText/BaoZha_Passive4_Name,Throwing Expert,
DivineTechText/HanBing_Throw1_Desc,Throws a Frost Grenade that continuously applies [Freeze] to enemies in the area.,
DivineTechText/BaoZha_Passive1_Name,Throwing Amplification,
DivineTechText/HanBing_Passive3_Name,Throwing Expansion,
DivineTechText/QiangSuan_Thorw1_Desc,"Throw a poison gas grenade, applying [Poison] to enemies in the area, dealing damage and reducing their attack.",
DivineTechText/LieYan_Throw1_Desc,Throw a Molotov that explodes into a burning cross-shaped trail.,
DivineTechText/LeiDian_Throw1_Desc,Throw a Stun Grenade that deals AoE damage and inflicts [Stun] on enemies.,
DivineTechText/BaoZha_Passive1_Desc,Increases damage of Throw-type Tech.,
DivineTechText/HanBing_Passive3_Desc,Increases the Area of Throw-type Tech.,
DivineTechText/BaoZha_Throw1_Desc,Throw a cluster grenade.,
DivineTechText/ZhiXie_Skill1_Name,Blade Ring Sentinel,
DivineTechText/Param_ShieldPercent,Shield Ratio: <Green_24>%s%</>,
DivineTechText/Param_Duration,Duration: <Green_24>%s sec</>,
DivineTechText/BaoZha_Psionic1_Desc,"After reloading, release an explosive shockwave around you.",
DivineTechText/HanBing_Passive5_Desc,Gain a temporary shield after reloading.,
DivineTechText/BaoZha_Passive5_Desc,"After reloading, increase reload speed based on the number of kills made with that magazine.",
DivineTechText/LieYan_Psionic3_Desc,"After reloading, there is a chance to launch a fireball at nearby enemies.",
DivineTechText/Param_ReloadSPDInc,Reload Speed Bonus: <Green_24>%s%</>,
DivineTechText/Qiangjiang_Passive3_Name,Drop Boost,
DivineTechText/HanBing_Passive8_Desc,Increases the spawn chance and damage of [Frost] Tech.,
DivineTechText/QiangSuan_Passive7_Desc,Increases the spawn chance and damage of [Corrosive] Tech.,
DivineTechText/ZhiXie_Passive8_Desc,Increases the spawn chance and damage of [Mechatech] Tech.,
DivineTechText/LieYan_Passive8_Desc,Increases the spawn chance and damage of [Inferno] Tech.,
DivineTechText/BaoZha_Passive6_Desc,Increases the spawn chance and damage of [Explosion] Tech.,
DivineTechText/LeiDian_Passive7_Desc,Increases the spawn chance and damage of [Lightning] Tech.,
DivineTechText/ZhiXie_Chase2_Name,Sawblade,
DivineTechText/ZhiXie_Chase1_Desc,Hitting an enemy launches 3 disc blades behind them.,
DivineTechText/TechDesc5017,"When an enemy attacks, there's a chance to fire a whirling blade at it. The blade bounces between enemies.",
DivineTechText/TechName5017,Revenge of the Whirling Blade,
DivineTechText/TechUI1009_2,Drone Summon Count: <Green_24>%s</>,
DivineTechText/TechUI1009_1,Drone Projectile Count: <Green_24>%s</>,
DivineTechText/TechName5018,Time Field,
DivineTechText/ZhiXie_Name,Mechatech,
DivineTechText/ZhiXie_Passive8_Name,Mechatech Mastery,
DivineTechText/TechDesc7040,Mechatech Tech hits have a chance to trigger a [Psionic] explosion.,
DivineTechText/Param_AndroidDMG,Android Weapon Damage: <Green_24>{Param}</>,
DivineTechText/Param_AndroidHP,Android HP: <Green_24>%s</>,
DivineTechText/TechName5016,Smart Projectile,
DivineTechText/BaoZha_Chase2_Name,Smart Missiles,
DivineTechText/HanBing_AuxWeapon1_Desc,Create up to 3 barriers that block enemy bullets. Your bullets passing through them deal increased damage.,
DivineTechText/Param_MaxStackRangeInc,Max Explosion Area Bonus: <Green_24>%s%</>,
DivineTechText/Param_MaxStacks,Max Stacks: <Green_24>%s</>,
DivineTechText/Param_MaxTargets,Max Targets: <Green_24>%s</>,
DivineTechText/Param_MaxStackDMGInc,Max [Weapon] Damage Bonus: <Green_24>%s%</>,
DivineTechText/BaoZha_Skill2_Desc,Bombard the target location repeatedly.,
DivineTechText/ZhiXie_Passive7_Name,Recovery Protocol,
DivineTechText/Param_MinigunDMG,Minigun Damage: <Green_24>%s</>,
DivineTechText/BaoZha_AuxWeapon2_Name,Machine Gun Drone,
DivineTechText/BaoZha_Skill1_Name,Gunship Support,
DivineTechText/ZhiXie_Passive5_Name,Swarm Amplification,
DivineTechText/Qiangjiang_Passive5_Name,Permission Unlock,
DivineTechText/HanBing_Skill2_Name,Polar Cyclone,
DivineTechText/Qiangjiang_Name,Gunsmith,
DivineTechText/Qiangjiang_Passive1_Name,Gunsmith Mastery,
DivineTechText/Param_MkVulnerability,Mark Vulnerability: <Green_24>%s%</>,
DivineTechText/Param_ProbabilityInc,Increases chance: <Green_24>%s%</>,
DivineTechText/Param_Probability,Chance: <Green_24>%s%</>,
DivineTechText/Param_GrenadeDMG,Grenade Damage: <Green_24>%s</>,
DivineTechText/Type_Weapon,Weapon,
DivineTechText/LeiDian_Weapon1_Desc,Increases weapon damage; bullet hits have a chance to call down Thunderfall.,
DivineTechText/QiangSuan_Weapon1_Desc,"Increases weapon damage; bullets inflict [Poison], dealing damage and weakening enemy attacks.",
DivineTechText/BaoZha_Weapon1_Desc,Increases weapon damage; hits apply a sticky charge.,
DivineTechText/ZhiXie_Weapon1_Desc,Increases weapon damage and grants bullets knockback and penetration.,
DivineTechText/HanBing_Weapon1_Desc,Increases weapon damage. Bullets inflict [Chill] stacking to cause [Freeze].,
DivineTechText/LieYan_Weapon1_Desc,Increases weapon damage; bullets inflict [Burn].,
DivineTechText/LeiDian_Passive3_Desc,Increases weapon range.,
DivineTechText/LieYan_Passive3_Desc,Increases Weapon fire rate.,
DivineTechText/QiangSuan_Passive3_Desc,Increases Weapon magazine capacity.,
DivineTechText/TechDesc5016,Weapon Ricochet +2,
DivineTechText/QiangSuan_Passive5_Desc,Weapon Projectiles +2,
DivineTechText/TechUI6016_1,Damage per projectile: <Green_24>%s</>,
DivineTechText/TechUI6016_2,Healing per projectile: <Green_24>%s</>,
DivineTechText/Param_DMGAuxWpInc,DMG Bonus per Auxiliary Weapon: <Green_24>%s%</>,
DivineTechText/HanBing_Psionic1_Desc,"When taking a certain percentage of damage, releases a Freezing Wave that deals AoE damage and inflicts [Freeze].",
DivineTechText/Param_StackDMGInc,[Weapon] DMG Bonus per Stack: <Green_24>%s%</>,
DivineTechText/Param_StackFireRateInc,[Weapon] Fire Rate Bonus per Stack: <Green_24>%s%</>,
DivineTechText/Param_StackRangeInc,Explosion Area Bonus per Stack: <Green_24>%s%</>,
DivineTechText/Param_ArmorBonus,Armor Bonus per Stack: <Green_24>%s</>,
DivineTechText/LieYan_Psionic2_Desc,"Each time you kill a burning enemy, it has a chance to explode.",
DivineTechText/LeiDian_Psionic1_Desc,"Every time you move a certain distance, unleash multiple lightning arcs.",
DivineTechText/LeiDian_Passive5_Desc,"When using a Tactical Skill, there is a chance to cast it 2 times in succession.",
DivineTechText/ZhiXie_Passive5_Desc,Each Auxiliary Weapon increases the damage of all Auxiliary Weapons.,
DivineTechText/Param_DMGPerShell,Damage per Shell: <Green_24>%s</>,
DivineTechText/Param_ReloadSPDKill,Reload Speed Bonus after each kill: <Green_24>%s%</>,
DivineTechText/TechDesc7034,Each shot hit increases Weapon and Throw damage. Resets on reload.,
DivineTechText/Param_DPS,Damage per Second: <Green_24>%s</>,
DivineTechText/Param_HealPerSec,Healing per Second: <Green_24>%s</>,
DivineTechText/QiangSuan_AuxWeapon1_Name,Venom Drone,
DivineTechText/QiangSuan_Skill2_Name,Venom Matrix,
DivineTechText/QiangSuan_Dash1_Name,Toxic Chain,
DivineTechText/Qiangjiang_Passive3_Desc,Increases consumable item drop rate.,
DivineTechText/Param_ItemDropInc,Consumable item drop rate Bonus: <Green_24>%s%</>,
DivineTechText/LieYan_AuxWeapon1_Name,Laser Drone,
DivineTechText/LieYan_Skill2_Name,Laser Array,
DivineTechText/LieYan_Psionic3_Name,Fire-Control Bomb,
DivineTechText/TechUI1018_1,Scorched Ground Duration: <Green_24>%s</>,
DivineTechText/LieYan_Passive7_Name,Plague Spread,
DivineTechText/LieYan_Passive8_Name,Inferno Mastery,
DivineTechText/LieYan_Psionic1_Name,Blazing Embers,
DivineTechText/LieYan_Name,Inferno,
DivineTechText/LieYan_Dash1_Name,Flame Dash,
DivineTechText/LieYan_Psionic4_Name,Lava Wave,
DivineTechText/LieYan_Weapon1_Name,Inferno Rounds,
DivineTechText/LieYan_Throw1_Name,Molotov,
DivineTechText/LieYan_Psionic1_Desc,"Burning enemies turn into a pile of embers upon death, which apply [Burn] to nearby foes.",
DivineTechText/TechName7031,Flame Missile Component,
DivineTechText/LieYan_Psionic2_Name,Combustion Protocol,
DivineTechText/ZhiXie_Skill2_Desc,Launches a burst of disc blades in a line; they spin at the end and return.,
DivineTechText/BaoZha_Name,Explosion,
DivineTechText/BaoZha_Passive6_Name,Explosion Mastery,
DivineTechText/Param_ExploDMGMult,Explosion Damage Multiplier: <Green_24>%s%</>,
DivineTechText/TechName4016,Explosions are art,
DivineTechText/TechDesc4016,Explosion Tech has 10% chance to deal 500% damage,
DivineTechText/Param_ExploRange,Explosion Area: <Green_24>%s</>,
DivineTechText/TechName7030,Deflagration Powder,
DivineTechText/BaoZha_Weapon1_Name,Explosive Rounds,
DivineTechText/TechName4017,Explosive Round,
DivineTechText/TechName7035,Tesla Mod,
DivineTechText/QiangSuan_Throw1_Name,Biochemical Canister,
DivineTechText/Param_HealthRegen,Health Regen: <Green_24>%s</>,
DivineTechText/TechName7039,Bio-Shield Crystal,
DivineTechText/TechDesc7033,Electrifying [Frozen] enemies triggers the Tactical Skill: Thunder Strike.,
DivineTechText/LeiDian_Passive1_Desc,"When dealing electric damage, has a chance to restore a certain amount of ammo.",
DivineTechText/TechName2015,Arc Ring,
DivineTechText/Param_ArcRicochet,Arc Ricochet Count: <Green_24>%s</>,
DivineTechText/Param_ArcCount,Arc Count: <Green_24>%s</>,
DivineTechText/LeiDian_AuxWeapon1_Name,Arc Drone,
DivineTechText/LeiDian_Chase1_Name,Arc Chain,
DivineTechText/LeiDian_Chase2_Name,Surge Orb,
DivineTechText/LeiDian_Skill2_Name,Electromagnetic Storm,
DivineTechText/HanBing_AuxWeapon1_Name,Phase Ice Wall,
DivineTechText/Param_StunDuration,Stun Duration: <Green_24>%s sec</>,
DivineTechText/TechName7036,Neurotoxin Conduction,
DivineTechText/Qiangjiang_Passive5_Desc,"Grants additional Tech Bans, Tech Rerolls, and Tech Alterations.",
DivineTechText/Param_TechBanInc,Tech Bans: +<Green_24>%s</>,
DivineTechText/Param_TechAlterInc,Tech Alterations: +<Green_24>%s</>,
DivineTechText/Param_TechRerollInc,Tech Rerolls: +<Green_24>%s</>,
DivineTechText/Param_MoveDistance,Distance Traveled: <Green_24>%s</>,
DivineTechText/TechDesc7027,Increases Movement Speed.,
DivineTechText/Param_MoveSpeedInc,Movement Speed Bonus: <Green_24>%s%</>,
DivineTechText/TechName7027,Movement Speed Amplification,
DivineTechText/HanBing_Psionic3_Desc,"Move faster, leaving a trail of frost behind you.",
DivineTechText/ZhiXie_Weapon1_Name,Armor-Piercing Rounds,
DivineTechText/Param_BarrierBonusDMG,[Weapon] DMG Bonus through Barrier: <Green_24>%s%</>,
DivineTechText/Param_PierceCount,Pierce Count: <Green_24>%s</>,
DivineTechText/ZhiXie_Passive2_Name,Precision Amplification,
DivineTechText/TechName7042,Nano-Repair Core,
DivineTechText/ZhiXie_AuxWeapon1_Name,Nanomedic,
DivineTechText/TechUI7026_1,EXP Gain Bonus: <Green_24>%s%</>,
DivineTechText/TechName7026,EXP Amplification,
DivineTechText/BaoZha_Chase1_Name,Rocket Salvo,
DivineTechText/LieYan_Chase1_Name,Fire Tongue,
DivineTechText/BaoZha_AuxWeapon1_Name,Back-Mounted RPG,
DivineTechText/BaoZha_Passive3_Name,Territory Expansion,
DivineTechText/TechName7032,Corruption Equation,
DivineTechText/QiangSuan_Skill1_Name,Corrosive Aura,
DivineTechText/QiangSuan_Weapon1_Name,Corrosive Rounds,
DivineTechText/QiangSuan_Chase1_Name,Rifling Modification,
DivineTechText/TechDesc6016,"Automatically swing the bat to reflect enemies' bullets. Triggers a cooldown after use. Each reflected bullet grants additional health regeneration.",
DivineTechText/TechDesc2015,"Automatically releases an expanding and contracting arc ring that damages targets it passes through, hitting them twice (out and back).",
DivineTechText/HanBing_AuxWeapon2_Name,Suicide Sentinel,
DivineTechText/Param_Range,Area: <Green_24>%s</>,
DivineTechText/TechDesc7026,Increases EXP gained.,
DivineTechText/BaoZha_Skill1_Desc,Call in aerial gunship to strafe a line of enemies.,
DivineTechText/QiangSuan_Skill1_Desc,"Grants a Corrosive Aura, dealing continuous damage and applying [Poison] to nearby enemies.",
DivineTechText/Param_LightningDMG,Thunderfall Damage: <Green_24>%s</>,
DivineTechText/Param_LightningCount,Thunderfall Count: <Green_24>%s</>,
DivineTechText/Param_LightningRange,Thunderfall Area: <Green_24>%s</>,
DivineTechText/Type_Fusion,Fusion Tech,
DivineTechText/Type_Passive,Passive,
DivineTechText/Param_LoadMagazine,Load Magazine: <Green_24>%s%</>,
DivineTechText/LieYan_Skill1_Name,Crimson Flame Dragon,
DivineTechText/Type_Psionic,Psionic,
DivineTechText/LieYan_Passive2_Name,Psionic Amplification,
DivineTechText/LieYan_Passive2_Desc,Increases damage of Psionic-type Tech.,
DivineTechText/BaoZha_Passive3_Desc,Increases the Area of Psionic-type Tech.,
DivineTechText/TechName7034,Overclocked Supply System,
DivineTechText/LeiDian_Passive4_Name,Overclock Circuit,
DivineTechText/TechName1018,Orbital Laser,
DivineTechText/Type_AuxWeapon,Auxiliary Weapon,
DivineTechText/ZhiXie_Passive7_Desc,Killing an enemy with Auxiliary Weapons has a chance to restore health.,
DivineTechText/QiangSuan_Passive2_Desc,Increases Auxiliary Weapon Duration.,
