key,source,target
DivineTechText/BaoZha_Passive4_Desc,Increases weapon damage after using [Throw].,Aumenta o dano de arma após usar [Arremesso].
DivineTechText/TechName6016,Home Run,Home Run
DivineTechText/HanBing_Throw1_Name,Frost Grenade,Granada Gélida
DivineTechText/HanBing_Psionic2_Desc,"When a frozen enemy is killed, there is a chance to fire 4 ice shards outward.","Ao matar um inimigo congelado, há chance de disparar 4 estilhaços de gelo para fora."
DivineTechText/TechName7037,Cryo Detonation Engineering,Engenharia de Detonação Criogênica
DivineTechText/HanBing_Chase1_Name,Ice Blade,Lâmina de Gelo
DivineTechText/TechName7038,Frostfire Thruster,Propulsor de Gelo e Fogo
DivineTechText/HanBing_Psionic2_Name,Iceburst Protocol,Protocolo de Estilhaços de Gelo
DivineTechText/Param_IceShardRange,Ice Shard Range: <Green_24>%s</>,Alcance dos Estilhaços de Gelo: <Green_24>%s</>
DivineTechText/Param_IceShardCount,Ice Shard Count: <Green_24>%s</>,Quantidade de Estilhaços de Gelo: <Green_24>%s</>
DivineTechText/Param_IceShardMax,Max Ice Shards: <Green_24>%s</>,Máx. de Estilhaços de Gelo: <Green_24>%s</>
DivineTechText/Param_IceGenTime,Ice Shard Generation Time: <Green_24>%s sec</>,Tempo de Geração de Estilhaços de Gelo: <Green_24>%s sec</>
DivineTechText/HanBing_Passive7_Name,Frost Module,Módulo Gélido
DivineTechText/HanBing_Skill1_Name,Icicle Array,Matriz de Estalactites
DivineTechText/BaoZha_Psionic1_Name,Shockwave Protocol,Protocolo de Onda de Choque
DivineTechText/Type_Dash,Dash,Avanço
DivineTechText/QiangSuan_Dash1_Desc,"Dashing links enemies, dealing damage while healing you.","Avançar conecta inimigos, causando dano enquanto cura você."
DivineTechText/HanBing_Passive1_Desc,Increases Dash Damage.,Aumenta o dano de Avanço.
DivineTechText/Param_DashDMG,Dash Damage: <Green_24>%s</>,Dano de Avanço: <Green_24>%s</>
DivineTechText/TechDesc7038,"Dash with spinning ice blades, damaging enemies and creating an ice path.","Avança com lâminas de gelo giratórias, causando dano aos inimigos e criando um caminho de gelo."
DivineTechText/LeiDian_Passive6_Desc,Increases movement speed and damage after dashing.,Aumenta a velocidade de movimento e o dano após avançar.
DivineTechText/HanBing_Passive1_Name,Dash Boost,Impulso de Avanço
DivineTechText/ZhiXie_Passive6_Name,Dash Expansion,Expansão de Avanço
DivineTechText/LieYan_Passive4_Desc,Increases dash duration.,Aumenta a duração do Avanço.
DivineTechText/HanBing_Dash1_Desc,"Dashing has a chance to trigger a Frost Nova, dealing damage and inflicting [Freeze].","Avançar tem chance de acionar uma Nova Gélida, causando dano e aplicando [Congelamento]."
DivineTechText/ZhiXie_Passive6_Desc,Extends the Area of Dash-type Tech.,Amplia a área de Tecnologias do tipo Avanço.
DivineTechText/ZhiXie_Dash1_Desc,Increases dash distance and spins blades to cut nearby enemies.,Aumenta a distância do avanço e gira lâminas para cortar inimigos próximos.
DivineTechText/LieYan_Dash1_Desc,Dash to deal fire damage and leave a trail of flames.,Avança para causar dano de fogo e deixar uma trilha de chamas.
DivineTechText/HanBing_Weapon1_Name,Frozen Rounds,Projéteis Congelantes
DivineTechText/Param_CD,Cooldown: <Green_24>%s sec</>,Recarga: <Green_24>%s sec</>
DivineTechText/Param_CDReduction,Cooldown Reduction: <Green_24>%s%</>,Redução de Recarga: <Green_24>%s%</>
DivineTechText/HanBing_Psionic3_Name,Frost Glide,Deslize Gélido
DivineTechText/HanBing_Passive4_Name,Freeze Extension,Extensão de Congelamento
DivineTechText/ZhiXie_Passive4_Name,Damage Reduction Coating,Revestimento de Redução de Dano
DivineTechText/LeiDian_Passive4_Desc,Reduces cooldowns.,Reduz recargas.
DivineTechText/TechUI5018_1,Slow Down: <Green_24>%s%</>,Lentidão: <Green_24>%s%</>
DivineTechText/TechDesc7030,Increases Weapon damage after killing an enemy with the [Burn] debuff.,Aumenta o dano de [Arma] após matar um inimigo com o efeito [Queimadura].
DivineTechText/TechDesc7028,Increases weapon fire rate after killing an enemy with the [Burn] debuff.,Aumenta a cadência de tiro da arma após matar um inimigo com o efeito [Queimadura].
DivineTechText/ZhiXie_Dash1_Name,Blade Ring Dash,Avanço do Anel de Lâminas
DivineTechText/QiangSuan_Psionic1_Name,Split Projectiles,Projéteis Divididos
DivineTechText/QiangSuan_AuxWeapon2_Name,Pesticannon Turret,Torreta Pesticannon
DivineTechText/LeiDian_Dash1_Name,Lightning Transform,Transformação Relampejante
DivineTechText/LeiDian_Dash1_Desc,"Transform into lightning, dash forward at high speed and deal damage. This skill has a cooldown period.","Transforma-se em relâmpago, avança em alta velocidade e causa dano. Esta habilidade tem um período de recarga."
DivineTechText/ZhiXie_Passive1_Name,Synergy Amplification,Amplificação de Sinergia
DivineTechText/TechName7040,Coordinated Detonation Protocol,Protocolo de Detonação Coordenada
DivineTechText/QiangSuan_Passive5_Name,Twin Core,Núcleo Duplo
DivineTechText/TechUI5017_1,Ricochet Count: <Green_24>%s</>,Ricochetes: <Green_24>%s</>
DivineTechText/BaoZha_Dash1_Desc,Dashing leaves behind a black hole.,Avançar deixa um buraco negro para trás.
DivineTechText/QiangSuan_Skill2_Desc,Launch four rotating venom pillars.,Lança quatro pilares venenosos giratórios.
DivineTechText/HanBing_Skill2_Desc,Unleash a tornado that lifts enemies along its path.,Libera um tornado que ergue inimigos ao longo do caminho.
DivineTechText/Param_DMGRatio,Damage Ratio: <Green_24>%s%</>,Taxa de Dano: <Green_24>%s%</>
DivineTechText/ZhiXie_Passive4_Desc,Reduces damage taken.,Reduz o dano sofrido.
DivineTechText/Param_DMGTakenRedu,Reduces Damage taken: <Green_24>%s%</>,Redução de Dano Sofrido: <Green_24>%s%</>
DivineTechText/LieYan_Skill2_Desc,"Summons 5 Laser Drones in a row to launch a laser sweep, leaving a trail of flames.","Invoca 5 Drones Laser em sequência para realizar uma varredura laser, deixando uma trilha de chamas."
DivineTechText/Param_SummonCD,Summon Cooldown: <Green_24>%s sec</>,Recarga de Invocação: <Green_24>%s sec</>
DivineTechText/ZhiXie_AuxWeapon1_Desc,Summon a medical drone.,Invoca um drone médico.
DivineTechText/Param_SummonCount,Summon Count: <Green_24>%s</>,Quantidade de Invocações: <Green_24>%s</>
DivineTechText/ZhiXie_AuxWeapon2_Desc,"Summon an android ally to aid in combat. If the ally is destroyed, it will be summoned again after a short time.","Invoca um androide aliado para ajudar em combate. Se o aliado for destruído, ele será invocado novamente após um curto período."
DivineTechText/BaoZha_AuxWeapon2_Desc,Summon a Machine Gun Drone that launches a grenade every 5 shots.,Invoca um Drone Metralhadora que lança uma granada a cada 5 disparos.
DivineTechText/QiangSuan_AuxWeapon1_Desc,"Summon venom drones that sprays venom, dealing damage and inflicting [Poison].","Invoca drones venenosos que borrifam veneno, causando dano e aplicando [Veneno]."
DivineTechText/LieYan_AuxWeapon1_Desc,Summons a Laser Drone that deals damage and applies [Burn].,Invoca um Drone Laser que causa dano e aplica [Queimadura].
DivineTechText/LieYan_Skill1_Desc,"Summons a Fire Dragon that circles around you, dealing heavy damage and inflicting [Burn].","Invoca um Dragão de Fogo que gira ao seu redor, causando dano pesado e aplicando [Queimadura]."
DivineTechText/LeiDian_AuxWeapon1_Desc,Summons Arc Drones that have a chance to [stun] enemies with attacks.,Invoca Drones de Arco cujos ataques têm chance de [atordoar] inimigos.
DivineTechText/BaoZha_AuxWeapon1_Desc,Summon Back-Mounted Rocket Launcher.,Invoca um Lança-Foguetes Dorsal.
DivineTechText/HanBing_AuxWeapon2_Desc,"Summon a suicide sentinel that automatically tracks and explodes when enemies are nearby, dealing area [Freeze].","Invoca uma sentinela suicida que rastreia automaticamente e explode quando há inimigos por perto, causando [Congelamento] em área."
DivineTechText/ZhiXie_Skill1_Desc,Summon a set of orbiting disc blades for protection.,Invoca um conjunto de lâminas circulares orbitais para proteção.
DivineTechText/TechDesc7032,Targets affected by both [Poison] and [Burn] take increased Status Ailment damage.,Alvos afetados por [Veneno] e [Queimadura] sofrem dano aumentado de Aflições de Status.
DivineTechText/BaoZha_Passive5_Name,Bloodthirsty Magazine,Carregador Sanguinário
DivineTechText/ZhiXie_Skill2_Name,Whirlblade Dance,Dança das Lâminas Giratórias
DivineTechText/ZhiXie_Throw1_Name,Rotating Sawblade,Lâmina Serrada Giratória
DivineTechText/LeiDian_Passive1_Name,Recharge Module,Módulo de Recarga
DivineTechText/TechDesc5018,Deploy a slowing field at your location. Enemy movement speed is reduced inside the field. You gain fire rate and reload speed while standing in it.,"Implanta um campo de lentidão na sua posição. A velocidade de movimento dos inimigos é reduzida dentro do campo. Enquanto estiver nele, você ganha cadência de tiro e velocidade de recarga."
DivineTechText/LeiDian_Skill2_Desc,Generates an electromagnetic storm at the target location.,Gera uma tempestade eletromagnética no local alvo.
DivineTechText/HanBing_Skill1_Desc,Generate ice shards behind that automatically fire at the target hit by your gun.,"Gera estilhaços de gelo atrás de você, que disparam automaticamente contra o alvo atingido pela sua arma."
DivineTechText/Param_BaseCount,Base Count: <Green_24>%s</>,Quantidade Base: <Green_24>%s</>
DivineTechText/LeiDian_Passive5_Name,Backup Power,Energia Reserva
DivineTechText/BaoZha_Chase1_Desc,"After multiple hits, fires a salvo of rockets.","Após múltiplos acertos, dispara uma salva de foguetes."
DivineTechText/LieYan_Chase1_Desc,"After multiple hits, unleash a stream of flames in front of you.","Após múltiplos acertos, libera uma rajada de chamas à sua frente."
DivineTechText/ZhiXie_Chase2_Desc,"After multiple shooting hits, fire a sawblade forward. The sawblade continuously cuts and slows obstacles in its path.","Após múltiplos acertos com disparos, lança uma lâmina serrada à frente. A lâmina corta continuamente e desacelera obstáculos no caminho."
DivineTechText/LeiDian_Psionic1_Name,Thunder Dash,Avanço Trovejante
DivineTechText/Param_BulletDMGMult,Bullet Damage Multiplier: <Green_24>%s%</>,Multiplicador de Dano de Bala: <Green_24>%s%</>
DivineTechText/Param_BulletDMGInc,Bullet Damage Bonus: <Green_24>%s%</>,Bônus de Dano de Bala: <Green_24>%s%</>
DivineTechText/HanBing_Chase1_Desc,There is a chance to release ice fragments upon hit.,Acertos têm chance de liberar fragmentos de gelo.
DivineTechText/QiangSuan_Chase2_Desc,"There is a chance to launch multiple homing venom spikes on hit, with the number of spikes affected by additional projectiles.",Acertos têm chance de lançar múltiplos espinhos venenosos teleguiados; a quantidade de espinhos é afetada por projéteis adicionais.
DivineTechText/LeiDian_Chase1_Desc,Bullets have a chance to trigger a chain lightning on hit. Upgrades increase the number of ricochets.,Balas têm chance de acionar uma corrente elétrica ao acertar. Aprimoramentos aumentam o número de ricochetes.
DivineTechText/Param_BulletCount,Bullet Count: <Green_24>%s</>,Quantidade de Balas: <Green_24>%s</>
DivineTechText/Param_SubGrenadeCount,Sub-grenade Count: <Green_24>%s</>,Quantidade de Subgranadas: <Green_24>%s</>
DivineTechText/Param_RangeWidth,Width: <Green_24>%s</>,Largura: <Green_24>%s</>
DivineTechText/HanBing_Name,Frost,Gelo
DivineTechText/HanBing_Passive8_Name,Frost Mastery,Maestria em Gelo
DivineTechText/HanBing_Passive5_Name,Frost Shield,Escudo Gélido
DivineTechText/QiangSuan_Passive4_Desc,Increases damage against Elites and Boss.,Aumenta o dano contra Elites e Chefes.
DivineTechText/Param_DMGBossInc,DMG Bonus against Elites and Boss: <Green_24>%s%</>,Bônus de Dano contra Elites e Chefes: <Green_24>%s%</>
DivineTechText/QiangSuan_Psionic1_Desc,"After firing the last bullet in the magazine, fire multiple projectiles outward from yourself.","Após disparar a última bala do carregador, dispara múltiplos projéteis para fora a partir de você."
DivineTechText/HanBing_Passive7_Desc,Bullets hitting frozen enemies are returned and may grant a temporary shield.,Balas que atingem inimigos congelados retornam e podem conceder um escudo temporário.
DivineTechText/LeiDian_Chase2_Desc,Shooting hits have a chance to fire a lightning energy orb. The orb continuously tracks targets and deals damage. (Internal CD: 1s),Acertos com disparos têm chance de lançar um orbe de energia elétrica. O orbe rastreia alvos continuamente e causa dano. (Recarga interna: 1s)
DivineTechText/QiangSuan_Chase1_Desc,There is a chance to fire 1 additional bullet when shooting.,Há chance de disparar 1 bala adicional ao atirar.
DivineTechText/LeiDian_Passive3_Name,Range Amplification,Amplificação de Alcance
DivineTechText/Param_BarrierGenTime,Barrier Generation Time: <Green_24>%s sec</>,Tempo de Geração de Barreira: <Green_24>%s sec</>
DivineTechText/Param_BarrierHP,Barrier Durability: <Green_24>%s</>,Durabilidade da Barreira: <Green_24>%s</>
DivineTechText/QiangSuan_Passive4_Name,Giant Slayer,Matador de Gigantes
DivineTechText/Param_LuckInc,Luck Bonus: <Green_24>%s%</>,Bônus de Sorte: <Green_24>%s%</>
DivineTechText/Qiangjiang_Passive2_Name,Luck Boost,Impulso de Sorte
DivineTechText/Qiangjiang_Passive2_Desc,Increases Luck.,Aumenta a Sorte.
DivineTechText/QiangSuan_Passive6_Name,Status Armor,Armadura de Status
DivineTechText/HanBing_Passive6_Name,Status Vulnerability,Vulnerabilidade de Status
DivineTechText/LieYan_Passive1_Desc,Increases damage of status ailment effects.,Aumenta o dano de efeitos de Aflição de Status.
DivineTechText/Param_StatusDMGInc,Status Ailment DMG Bonus: <Green_24>%s%</>,Bônus de Dano de Aflição de Status: <Green_24>%s%</>
DivineTechText/HanBing_Passive4_Desc,Increases status ailment duration.,Aumenta a duração de Aflições de Status.
DivineTechText/Param_StatusDUInc,Status Ailment Duration Bonus: <Green_24>%s%</>,Bônus de Duração de Aflição de Status: <Green_24>%s%</>
DivineTechText/HanBing_Passive6_Desc,Enemies affected by status ailment take increased damage.,Inimigos afetados por Aflições de Status sofrem dano aumentado.
DivineTechText/LieYan_Passive6_Name,Psi Acceleration,Aceleração Psi
DivineTechText/LieYan_Passive1_Name,Psi Boost,Impulso Psi
DivineTechText/TechName7033,Thunderfrost Crystal,Cristal Trovão-Gélido
DivineTechText/TechDesc4017,The first round in the magazine explodes on hit.,O primeiro disparo do carregador explode ao acertar.
DivineTechText/LieYan_Psionic4_Desc,"When the first bullet of a magazine is fired, it is accompanied by a Lava Fissure Wave that deals damage and leaves a burning trail.","Quando a primeira bala de um carregador é disparada, ela vem acompanhada de uma Onda de Fissura de Lava que causa dano e deixa uma trilha flamejante."
DivineTechText/Param_Projectile,Projectile Count: <Green_24>%s</>,Quantidade de Projéteis: <Green_24>%s</>
DivineTechText/QiangSuan_Passive3_Name,Drum Magazine,Carregador Tambor
DivineTechText/QiangSuan_Name,Corrosive,Corrosivo
DivineTechText/QiangSuan_Passive7_Name,Corrosive Mastery,Maestria Corrosiva
DivineTechText/ZhiXie_Passive1_Desc,"When hitting enemies, both your Weapon Damage and Auxiliary Weapon Damage are increased.","Ao acertar inimigos, seu Dano de Arma e Dano de Arma Auxiliar aumentam."
DivineTechText/ZhiXie_Chase1_Name,Shadow Blade,Lâmina Sombria
DivineTechText/HanBing_Psionic1_Name,Frost Wave,Onda Gélida
DivineTechText/Qiangjiang_Passive4_Desc,Increases overall damage.,Aumenta o dano geral.
DivineTechText/Param_AmmoRestore,Ammo Restored: <Green_24>%s</>,Munição Restaurada: <Green_24>%s</>
DivineTechText/ZhiXie_Passive3_Name,Recovery Boost,Impulso de Recuperação
DivineTechText/ZhiXie_AuxWeapon2_Name,Combat Android,Androide de Combate
DivineTechText/LeiDian_Passive2_Name,Tactical Amplifier,Amplificador Tático
DivineTechText/HanBing_Passive2_Name,Tactical Expansion,Expansão Tática
DivineTechText/Type_Skill,Tactical Skill,Habilidade Tática
DivineTechText/LeiDian_Passive2_Desc,Increases Tactical Skill damage.,Aumenta o dano de Habilidade Tática.
DivineTechText/BaoZha_Passive2_Desc,Increases the duration of Tactical Skill.,Aumenta a duração de Habilidade Tática.
DivineTechText/HanBing_Passive2_Desc,Increases the Area of Tactical Skills.,Aumenta a área de Habilidades Táticas.
DivineTechText/BaoZha_Passive2_Name,Tactical Hourglass,Ampulheta Tática
DivineTechText/ZhiXie_Passive3_Desc,Increases all healing received.,Aumenta toda a cura recebida.
DivineTechText/Param_HealBonus,Bonus to Healing Received: <Green_24>%s%</>,Bônus de Cura Recebida: <Green_24>%s%</>
DivineTechText/ZhiXie_Passive2_Desc,Increases damage dealt with manually aimed shots.,Aumenta o dano causado por disparos mirados manualmente.
DivineTechText/Type_Throw,Throw,Arremesso
DivineTechText/ZhiXie_Throw1_Desc,Throws a massive spinning disc that flies out and returns.,Arremessa um disco giratório enorme que avança e retorna.
DivineTechText/BaoZha_Passive4_Name,Throwing Expert,Especialista em Arremesso
DivineTechText/HanBing_Throw1_Desc,Throws a Frost Grenade that continuously applies [Freeze] to enemies in the area.,Arremessa uma Granada Gélida que aplica [Congelamento] continuamente aos inimigos na área.
DivineTechText/BaoZha_Passive1_Name,Throwing Amplification,Amplificação de Arremesso
DivineTechText/HanBing_Passive3_Name,Throwing Expansion,Expansão de Arremesso
DivineTechText/QiangSuan_Thorw1_Desc,"Throw a poison gas grenade, applying [Poison] to enemies in the area, dealing damage and reducing their attack.","Arremessa uma granada de gás venenoso, aplicando [Veneno] aos inimigos na área, causando dano e reduzindo o ataque deles."
DivineTechText/LieYan_Throw1_Desc,Throw a Molotov that explodes into a burning cross-shaped trail.,Arremessa um Molotov que explode em uma trilha flamejante em forma de cruz.
DivineTechText/LeiDian_Throw1_Desc,Throw a Stun Grenade that deals AoE damage and inflicts [Stun] on enemies.,Arremessa uma Granada de Choque que causa dano em área e aplica [Atordoamento] aos inimigos.
DivineTechText/BaoZha_Passive1_Desc,Increases damage of Throw-type Tech.,Aumenta o dano de Tecnologias do tipo Arremesso.
DivineTechText/HanBing_Passive3_Desc,Increases the Area of Throw-type Tech.,Aumenta a área de Tecnologias do tipo Arremesso.
DivineTechText/BaoZha_Throw1_Desc,Throw a cluster grenade.,Arremessa uma granada de fragmentação.
DivineTechText/ZhiXie_Skill1_Name,Blade Ring Sentinel,Sentinela do Anel de Lâminas
DivineTechText/Param_ShieldPercent,Shield Ratio: <Green_24>%s%</>,Proporção de Escudo: <Green_24>%s%</>
DivineTechText/Param_Duration,Duration: <Green_24>%s sec</>,Duração: <Green_24>%s sec</>
DivineTechText/BaoZha_Psionic1_Desc,"After reloading, release an explosive shockwave around you.","Após recarregar, libera uma onda de choque explosiva ao seu redor."
DivineTechText/HanBing_Passive5_Desc,Gain a temporary shield after reloading.,Ganha um escudo temporário após recarregar.
DivineTechText/BaoZha_Passive5_Desc,"After reloading, increase reload speed based on the number of kills made with that magazine.","Após recarregar, aumenta a velocidade de recarga com base no número de abates feitos com aquele carregador."
DivineTechText/LieYan_Psionic3_Desc,"After reloading, there is a chance to launch a fireball at nearby enemies.","Após recarregar, há chance de lançar uma bola de fogo contra inimigos próximos."
DivineTechText/Param_ReloadSPDInc,Reload Speed Bonus: <Green_24>%s%</>,Bônus de Velocidade de Recarga: <Green_24>%s%</>
DivineTechText/Qiangjiang_Passive3_Name,Drop Boost,Impulso de Obtenção
DivineTechText/HanBing_Passive8_Desc,Increases the spawn chance and damage of [Frost] Tech.,Aumenta a chance de aparecer e o dano de Tecnologias de [Gelo].
DivineTechText/QiangSuan_Passive7_Desc,Increases the spawn chance and damage of [Corrosive] Tech.,Aumenta a chance de aparecer e o dano de Tecnologias [Corrosivas].
DivineTechText/ZhiXie_Passive8_Desc,Increases the spawn chance and damage of [Mechatech] Tech.,Aumenta a chance de aparecer e o dano de Tecnologias [Mechatech].
DivineTechText/LieYan_Passive8_Desc,Increases the spawn chance and damage of [Inferno] Tech.,Aumenta a chance de aparecer e o dano de Tecnologias [Inferno].
DivineTechText/BaoZha_Passive6_Desc,Increases the spawn chance and damage of [Explosion] Tech.,Aumenta a chance de aparecer e o dano de Tecnologias de [Explosão].
DivineTechText/LeiDian_Passive7_Desc,Increases the spawn chance and damage of [Lightning] Tech.,Aumenta a chance de aparecer e o dano de Tecnologias de [Relâmpago].
DivineTechText/ZhiXie_Chase2_Name,Sawblade,Lâmina Serrada
DivineTechText/ZhiXie_Chase1_Desc,Hitting an enemy launches 3 disc blades behind them.,Acertar um inimigo lança 3 lâminas circulares atrás dele.
DivineTechText/TechDesc5017,"When an enemy attacks, there's a chance to fire a whirling blade at it. The blade bounces between enemies.","Quando um inimigo ataca, há chance de disparar uma lâmina giratória contra ele. A lâmina salta entre inimigos."
DivineTechText/TechName5017,Revenge of the Whirling Blade,Vingança da Lâmina Giratória
DivineTechText/TechUI1009_2,Drone Summon Count: <Green_24>%s</>,Quantidade de Drones Invocados: <Green_24>%s</>
DivineTechText/TechUI1009_1,Drone Projectile Count: <Green_24>%s</>,Projéteis do Drone: <Green_24>%s</>
DivineTechText/TechName5018,Time Field,Campo Temporal
DivineTechText/ZhiXie_Name,Mechatech,Mechatech
DivineTechText/ZhiXie_Passive8_Name,Mechatech Mastery,Maestria Mechatech
DivineTechText/TechDesc7040,Mechatech Tech hits have a chance to trigger a [Psionic] explosion.,Acertos de Tecnologias Mechatech têm chance de acionar uma explosão [Psiônica].
DivineTechText/Param_AndroidDMG,Android Weapon Damage: <Green_24>{Param}</>,Dano de Arma do Androide: <Green_24>{Param}</>
DivineTechText/Param_AndroidHP,Android HP: <Green_24>%s</>,Vida do Androide: <Green_24>%s</>
DivineTechText/TechName5016,Smart Projectile,Projétil Inteligente
DivineTechText/BaoZha_Chase2_Name,Smart Missiles,Mísseis Inteligentes
DivineTechText/HanBing_AuxWeapon1_Desc,Create up to 3 barriers that block enemy bullets. Your bullets passing through them deal increased damage.,Cria até 3 barreiras que bloqueiam balas inimigas. Suas balas que atravessarem as barreiras causam dano aumentado.
DivineTechText/Param_MaxStackRangeInc,Max Explosion Area Bonus: <Green_24>%s%</>,Bônus Máx. de Área de Explosão: <Green_24>%s%</>
DivineTechText/Param_MaxStacks,Max Stacks: <Green_24>%s</>,Máx. de Acúmulos: <Green_24>%s</>
DivineTechText/Param_MaxTargets,Max Targets: <Green_24>%s</>,Máx. de Alvos: <Green_24>%s</>
DivineTechText/Param_MaxStackDMGInc,Max [Weapon] Damage Bonus: <Green_24>%s%</>,Bônus Máx. de Dano de [Arma]: <Green_24>%s%</>
